P,norm,model,id_acc_mean,id_acc_std,ood_acc_mean,ood_acc_std,ood_auroc_mean,ood_auroc_std,n
110,raw,RandomForest,0.796460,0.006648,0.679920,0.001869,0.573965,0.009450,5
110,raw,Transformer,0.812800,0.005770,0.673080,0.003033,0.725074,0.019010,5
110,zscore,DecisionTree,0.705040,0.004175,0.621260,0.004387,0.595402,0.010994,5
110,zscore,MLP,0.847200,0.003787,0.715400,0.004491,0.687919,0.005558,5
110,zscore,RandomForest,0.798460,0.005212,0.682620,0.005310,0.577894,0.008872,5
110,zscore,Transformer,0.804000,0.009143,0.663280,0.005757,0.722276,0.026242,5
120,log1p,DecisionTree,0.708220,0.009421,0.625560,0.004904,0.595311,0.007929,5
120,log1p,MLP,0.855080,0.005061,0.725720,0.005178,0.686679,0.003819,5
120,log1p,RandomForest,0.805440,0.004710,0.686860,0.005517,0.583709,0.009424,5
120,log1p,Transformer,0.821540,0.007443,0.688600,0.004462,0.714621,0.016017,5
120,raw,DecisionTree,0.707020,0.010687,0.622520,0.005001,0.589317,0.004030,5
120,raw,MLP,0.859180,0.004727,0.729040,0.004124,0.685693,0.006307,5
120,raw,RandomForest,0.800640,0.005233,0.683500,0.005487,0.574293,0.007582,5
120,raw,Transformer,0.822460,0.007544,0.679920,0.006983,0.725686,0.014480,5
120,zscore,DecisionTree,0.709440,0.010186,0.622740,0.002520,0.593159,0.004971,5
120,zscore,MLP,0.853600,0.003892,0.723820,0.004738,0.691414,0.003380,5
120,zscore,RandomForest,0.801460,0.005281,0.685340,0.004524,0.578515,0.007456,5
120,zscore,Transformer,0.820180,0.008091,0.674620,0.004683,0.728348,0.010176,5
130,log1p,DecisionTree,0.725480,0.007275,0.632460,0.007464,0.589214,0.008826,5
130,log1p,MLP,0.869160,0.003186,0.739000,0.005603,0.690862,0.003186,5
130,log1p,RandomForest,0.818460,0.004839,0.696100,0.006361,0.588956,0.008659,5
130,log1p,Transformer,0.834640,0.005230,0.695600,0.006077,0.717981,0.027572,5
130,raw,DecisionTree,0.727200,0.006468,0.634580,0.003842,0.594521,0.007234,5
130,raw,MLP,0.872780,0.004245,0.740000,0.008230,0.693489,0.004801,5
130,raw,RandomForest,0.813520,0.005349,0.696700,0.007057,0.580912,0.009446,5
130,raw,Transformer,0.837860,0.010629,0.686800,0.012652,0.743732,0.016173,5
130,zscore,DecisionTree,0.727300,0.005245,0.629540,0.002339,0.596254,0.007846,5
130,zscore,MLP,0.868600,0.007216,0.735000,0.006820,0.698370,0.005433,5
130,zscore,RandomForest,0.815520,0.004918,0.698140,0.007416,0.583568,0.007879,5
130,zscore,Transformer,0.830420,0.012772,0.690440,0.014860,0.734362,0.008720,5
140,log1p,DecisionTree,0.721820,0.010967,0.632080,0.007280,0.591849,0.006460,5
140,log1p,MLP,0.876840,0.004113,0.747100,0.007139,0.698845,0.004828,5
140,log1p,RandomForest,0.818900,0.003819,0.702060,0.007014,0.593558,0.008121,5
140,log1p,Transformer,0.843160,0.007787,0.704120,0.003652,0.738530,0.023864,5
140,raw,DecisionTree,0.724700,0.010326,0.633140,0.005174,0.586990,0.005704,5
140,raw,MLP,0.878400,0.005026,0.747020,0.003373,0.696930,0.006806,5
140,raw,RandomForest,0.817260,0.003925,0.700340,0.007371,0.585834,0.008682,5
140,raw,Transformer,0.842060,0.006719,0.692680,0.019235,0.742031,0.020201,5
140,zscore,DecisionTree,0.724180,0.006890,0.631920,0.002764,0.591333,0.004328,5
140,zscore,MLP,0.871140,0.007392,0.738800,0.005422,0.697084,0.004392,5
140,zscore,RandomForest,0.818160,0.005402,0.702140,0.007533,0.588229,0.007367,5
140,zscore,Transformer,0.842900,0.005262,0.694420,0.012123,0.753357,0.014639,5
150,log1p,DecisionTree,0.736200,0.005352,0.645660,0.009080,0.588068,0.003868,5
150,log1p,MLP,0.885440,0.005288,0.752840,0.006971,0.702587,0.006600,5
150,log1p,RandomForest,0.824680,0.004340,0.710700,0.005983,0.595601,0.006837,5
150,log1p,Transformer,0.851000,0.005948,0.717480,0.003135,0.729097,0.021995,5
150,raw,DecisionTree,0.739140,0.005820,0.644720,0.009947,0.588244,0.008333,5
150,raw,MLP,0.885680,0.006262,0.758020,0.005416,0.698976,0.002019,5
150,raw,RandomForest,0.821360,0.006574,0.710340,0.007975,0.588395,0.006130,5
150,raw,Transformer,0.854740,0.005555,0.704680,0.011831,0.748013,0.013309,5
150,zscore,DecisionTree,0.734300,0.004499,0.646220,0.009384,0.596918,0.009548,5
150,zscore,MLP,0.880380,0.004324,0.750640,0.003730,0.703762,0.006783,5
150,zscore,RandomForest,0.822920,0.003827,0.709460,0.008588,0.589178,0.008378,5
150,zscore,Transformer,0.849520,0.004756,0.703560,0.008190,0.728889,0.015304,5
200,log1p,DecisionTree,0.748240,0.008141,0.658040,0.009042,0.578705,0.014337,5
200,log1p,MLP,0.905240,0.002558,0.785900,0.003459,0.712966,0.007981,5
200,log1p,RandomForest,0.841860,0.003704,0.734640,0.003162,0.605869,0.008339,5
200,log1p,Transformer,0.876420,0.004348,0.746420,0.007485,0.737343,0.003518,5
200,raw,DecisionTree,0.744620,0.005607,0.655460,0.009265,0.580460,0.005927,5
200,raw,MLP,0.907940,0.003079,0.786980,0.003403,0.714085,0.008469,5
200,raw,RandomForest,0.838160,0.005691,0.735120,0.003852,0.597474,0.007930,5
200,raw,Transformer,0.875140,0.003048,0.744840,0.005968,0.744446,0.032942,5
200,zscore,DecisionTree,0.742260,0.004199,0.654100,0.007445,0.581443,0.010343,5
200,zscore,MLP,0.896420,0.002366,0.774780,0.007904,0.713415,0.006136,5
200,zscore,RandomForest,0.837440,0.002982,0.733640,0.006380,0.601219,0.007973,5
200,zscore,Transformer,0.873500,0.003686,0.734420,0.007942,0.756429,0.018485,5
300,log1p,DecisionTree,0.757660,0.005796,0.667820,0.001628,0.560387,0.012584,5
300,log1p,MLP,0.933300,0.004720,0.817160,0.008508,0.740373,0.008190,5
300,log1p,RandomForest,0.861180,0.004114,0.753040,0.003902,0.616007,0.008536,5
300,log1p,Transformer,0.910760,0.005024,0.798140,0.007400,0.733235,0.008667,5
300,raw,DecisionTree,0.759140,0.008136,0.666480,0.004105,0.566219,0.011467,5
300,raw,MLP,0.933000,0.002967,0.820440,0.010005,0.734427,0.010532,5
300,raw,RandomForest,0.858980,0.004892,0.753920,0.005657,0.606828,0.009901,5
300,raw,Transformer,0.912180,0.006915,0.798340,0.007205,0.766773,0.019812,5
300,zscore,DecisionTree,0.761900,0.005548,0.668300,0.007134,0.565749,0.013368,5
300,zscore,MLP,0.917480,0.002554,0.802280,0.012118,0.728774,0.006761,5
300,zscore,RandomForest,0.858800,0.003864,0.754480,0.004400,0.609671,0.007623,5
300,zscore,Transformer,0.905380,0.003478,0.782780,0.007777,0.749531,0.005712,5
400,log1p,DecisionTree,0.768700,0.007908,0.686140,0.005687,0.541066,0.014822,5
400,log1p,MLP,0.940800,0.003706,0.836500,0.003496,0.748372,0.007462,5
400,log1p,RandomForest,0.870480,0.003745,0.774840,0.004064,0.621032,0.008291,5
400,log1p,Transformer,0.925260,0.003398,0.824780,0.006342,0.716858,0.010966,5
400,raw,DecisionTree,0.772120,0.006086,0.690020,0.007370,0.559630,0.011678,5
400,raw,MLP,0.940080,0.003073,0.839340,0.001762,0.736891,0.013295,5
400,raw,RandomForest,0.868720,0.003283,0.770560,0.005959,0.613720,0.007887,5
400,raw,Transformer,0.928360,0.002897,0.825380,0.004361,0.738072,0.008625,5
400,zscore,DecisionTree,0.774100,0.006198,0.689960,0.002408,0.551017,0.005377,5
400,zscore,MLP,0.932640,0.002016,0.825140,0.004748,0.731248,0.005546,5
400,zscore,RandomForest,0.868220,0.005395,0.771860,0.005554,0.615867,0.007472,5
400,zscore,Transformer,0.921660,0.005195,0.810300,0.004520,0.751886,0.015849,5
500,log1p,DecisionTree,0.783780,0.008202,0.699720,0.002385,0.526716,0.005132,5
500,log1p,MLP,0.946680,0.000550,0.847300,0.006389,0.756967,0.008694,5
500,log1p,RandomForest,0.872460,0.004188,0.780240,0.005477,0.624488,0.008439,5
500,log1p,Transformer,0.936640,0.003522,0.844160,0.004907,0.716477,0.005436,5
500,raw,DecisionTree,0.785940,0.006472,0.699560,0.008351,0.542017,0.011995,5
500,raw,MLP,0.950260,0.004353,0.852920,0.007378,0.742350,0.007833,5
500,raw,RandomForest,0.872600,0.003054,0.779080,0.003751,0.612384,0.007269,5
500,raw,Transformer,0.938360,0.002360,0.841120,0.008771,0.723861,0.008670,5
500,zscore,DecisionTree,0.779640,0.011218,0.693400,0.013997,0.547767,0.012303,5
500,zscore,MLP,0.934660,0.006898,0.825340,0.011234,0.739497,0.006063,5
500,zscore,RandomForest,0.872480,0.003813,0.778240,0.005329,0.617986,0.007159,5
500,zscore,Transformer,0.930280,0.009469,0.824140,0.007548,0.752189,0.035175,5
600,log1p,DecisionTree,0.795620,0.004304,0.711260,0.004467,0.522681,0.008506,5
600,log1p,MLP,0.954880,0.004262,0.862940,0.003037,0.747533,0.005054,5
600,log1p,RandomForest,0.879900,0.003417,0.788120,0.002224,0.624475,0.005310,5
600,log1p,Transformer,0.942380,0.004985,0.856960,0.012446,0.702840,0.007735,5
600,raw,DecisionTree,0.790960,0.005562,0.711820,0.003815,0.535632,0.003321,5
600,raw,MLP,0.948240,0.004581,0.854920,0.012391,0.758953,0.010087,5
600,raw,RandomForest,0.879320,0.005131,0.787460,0.002436,0.615721,0.006349,5
600,raw,Transformer,0.947260,0.001834,0.858840,0.004337,0.722204,0.015477,5
600,zscore,DecisionTree,0.783980,0.006103,0.707060,0.006833,0.533626,0.008377,5
600,zscore,MLP,0.940660,0.006464,0.837460,0.004406,0.746699,0.003380,5
600,zscore,RandomForest,0.880280,0.002744,0.788700,0.004324,0.618748,0.005469,5
600,zscore,Transformer,0.937040,0.009196,0.841040,0.011939,0.731457,0.020042,5
