seed,P,norm,model,id_acc,ood_acc,ood_auroc
43,70,log1p,MLP,0.803000,0.667000,0.664218
43,70,log1p,Transformer,0.747100,0.625900,0.702657
43,70,zscore,DecisionTree,0.695100,0.614500,0.607814
43,70,zscore,RandomForest,0.761000,0.657300,0.552623
43,70,zscore,MLP,0.801100,0.663800,0.664964
43,70,zscore,Transformer,0.757500,0.640200,0.693944
43,80,raw,DecisionTree,0.693000,0.614700,0.589809
43,80,raw,RandomForest,0.767500,0.661500,0.562925
43,80,raw,MLP,0.813900,0.685500,0.661963
43,80,raw,Transformer,0.767000,0.637700,0.692982
43,80,log1p,DecisionTree,0.694900,0.618400,0.598990
43,80,log1p,RandomForest,0.772100,0.665300,0.568115
43,80,log1p,MLP,0.816500,0.684200,0.670920
43,80,log1p,Transformer,0.767400,0.637700,0.696138
43,80,zscore,DecisionTree,0.692600,0.622800,0.597557
43,80,zscore,RandomForest,0.774700,0.669600,0.563210
43,80,zscore,MLP,0.805900,0.680900,0.672107
43,80,zscore,Transformer,0.777300,0.643600,0.665601
43,90,raw,DecisionTree,0.699100,0.615900,0.593434
43,90,raw,RandomForest,0.787400,0.667900,0.564574
43,90,raw,MLP,0.830600,0.695300,0.664548
43,90,raw,Transformer,0.777700,0.646900,0.695254
43,90,log1p,DecisionTree,0.705600,0.623800,0.604765
43,90,log1p,RandomForest,0.789000,0.672800,0.570842
43,90,log1p,MLP,0.829900,0.697100,0.666482
43,90,log1p,Transformer,0.783000,0.647300,0.712504
43,90,zscore,DecisionTree,0.698500,0.610400,0.602983
43,90,zscore,RandomForest,0.787500,0.676100,0.565973
43,90,zscore,MLP,0.830600,0.699700,0.677029
43,90,zscore,Transformer,0.778500,0.642400,0.694817
43,100,raw,DecisionTree,0.693900,0.620300,0.594178
43,100,raw,RandomForest,0.795700,0.672500,0.573690
43,100,raw,MLP,0.849100,0.700800,0.686915
43,100,raw,Transformer,0.800200,0.654200,0.738923
43,100,log1p,DecisionTree,0.704400,0.616600,0.593242
