P,norm,model,id_acc_mean,id_acc_std,ood_acc_mean,ood_acc_std,ood_auroc_mean,ood_auroc_std,n
100,zscore,Baseline_LogReg,0.762320,0.004582,0.613680,0.008180,0.647533,0.004721,5
110,log1p,Baseline_CosThresh,0.751780,0.006362,0.677780,0.004986,0.407296,0.006137,5
110,log1p,Baseline_L1Thresh,0.669280,0.005239,0.514780,0.001835,0.902391,0.012286,5
110,log1p,Baseline_L2Thresh,0.673360,0.006910,0.516180,0.002833,0.560492,0.101423,5
110,log1p,Baseline_LogReg,0.772740,0.004475,0.645280,0.006511,0.617930,0.004224,5
110,raw,Baseline_CosThresh,0.754180,0.006091,0.677900,0.004922,0.432908,0.005090,5
110,raw,Baseline_L1Thresh,0.669400,0.005082,0.514660,0.002575,0.923706,0.008296,5
110,raw,Baseline_L2Thresh,0.669740,0.002834,0.518740,0.002258,0.874638,0.050329,5
110,raw,Baseline_LogReg,0.774580,0.004635,0.651480,0.003357,0.640483,0.002827,5
110,zscore,Baseline_CosThresh,0.749400,0.006409,0.583420,0.032184,0.392929,0.043013,5
110,zscore,Baseline_L1Thresh,0.665360,0.005235,0.514880,0.002891,0.924211,0.008072,5
110,zscore,Baseline_L2Thresh,0.658960,0.003931,0.513100,0.004695,0.910614,0.017736,5
110,zscore,Baseline_LogReg,0.770960,0.003686,0.622480,0.005049,0.641336,0.004861,5
120,log1p,Baseline_CosThresh,0.759260,0.006057,0.689840,0.004831,0.385323,0.004840,5
120,log1p,Baseline_L1Thresh,0.676560,0.003151,0.515920,0.003109,0.898549,0.011480,5
120,log1p,Baseline_L2Thresh,0.681420,0.004448,0.517260,0.004668,0.478158,0.103127,5
120,log1p,Baseline_LogReg,0.783500,0.005894,0.650680,0.002578,0.622742,0.006958,5
120,raw,Baseline_CosThresh,0.762380,0.006501,0.689860,0.004834,0.416596,0.007640,5
120,raw,Baseline_L1Thresh,0.676540,0.003895,0.518100,0.002666,0.920508,0.009001,5
120,raw,Baseline_L2Thresh,0.673020,0.003014,0.520940,0.004886,0.866164,0.055877,5
120,raw,Baseline_LogReg,0.787580,0.004177,0.666120,0.001446,0.638728,0.002461,5
120,zscore,Baseline_CosThresh,0.758280,0.006252,0.611780,0.023488,0.355086,0.027980,5
120,zscore,Baseline_L1Thresh,0.670020,0.005059,0.514380,0.004580,0.922458,0.010714,5
120,zscore,Baseline_L2Thresh,0.661960,0.003551,0.516340,0.006246,0.906769,0.019510,5
120,zscore,Baseline_LogReg,0.782740,0.004307,0.637200,0.005948,0.648727,0.005361,5
130,log1p,Baseline_CosThresh,0.767720,0.010163,0.703900,0.005640,0.389741,0.004937,5
130,log1p,Baseline_L1Thresh,0.677380,0.004361,0.514300,0.003399,0.902454,0.012374,5
130,log1p,Baseline_L2Thresh,0.684280,0.004486,0.513440,0.002516,0.476856,0.114488,5
130,log1p,Baseline_LogReg,0.794180,0.005373,0.668640,0.006677,0.614939,0.008894,5
130,raw,Baseline_CosThresh,0.770880,0.007145,0.704480,0.005456,0.410267,0.004792,5
130,raw,Baseline_L1Thresh,0.677500,0.004991,0.513940,0.003007,0.925033,0.008414,5
130,raw,Baseline_L2Thresh,0.676940,0.005391,0.520440,0.002998,0.859126,0.057474,5
130,raw,Baseline_LogReg,0.798680,0.006958,0.682340,0.003017,0.636060,0.004884,5
130,zscore,Baseline_CosThresh,0.767540,0.006791,0.636500,0.035885,0.341551,0.031875,5
130,zscore,Baseline_L1Thresh,0.675080,0.002879,0.514860,0.002144,0.922071,0.009391,5
130,zscore,Baseline_L2Thresh,0.666000,0.004108,0.514400,0.003688,0.909179,0.025241,5
130,zscore,Baseline_LogReg,0.790940,0.005348,0.641040,0.005520,0.649913,0.004313,5
140,log1p,Baseline_CosThresh,0.773500,0.007782,0.710280,0.005203,0.373673,0.006049,5
140,log1p,Baseline_L1Thresh,0.684880,0.004220,0.514180,0.001883,0.898901,0.011662,5
140,log1p,Baseline_L2Thresh,0.691240,0.004539,0.513760,0.001210,0.407949,0.111749,5
140,log1p,Baseline_LogReg,0.801140,0.004495,0.676720,0.001875,0.616321,0.004514,5
140,raw,Baseline_CosThresh,0.775260,0.007742,0.710220,0.005216,0.403523,0.003458,5
140,raw,Baseline_L1Thresh,0.682820,0.006931,0.512480,0.001744,0.921177,0.010084,5
140,raw,Baseline_L2Thresh,0.683100,0.006401,0.521120,0.002319,0.853478,0.071799,5
140,raw,Baseline_LogReg,0.806100,0.005188,0.687560,0.002572,0.632067,0.007509,5
140,zscore,Baseline_CosThresh,0.773620,0.007712,0.684660,0.006591,0.320289,0.027730,5
140,zscore,Baseline_L1Thresh,0.679480,0.006013,0.512340,0.002680,0.920123,0.011235,5
140,zscore,Baseline_L2Thresh,0.669660,0.004585,0.512680,0.003905,0.907189,0.035704,5
140,zscore,Baseline_LogReg,0.799700,0.004805,0.652620,0.004903,0.653298,0.005149,5
150,log1p,Baseline_CosThresh,0.779060,0.005797,0.718160,0.004558,0.370089,0.004298,5
150,log1p,Baseline_L1Thresh,0.691700,0.004470,0.513600,0.001286,0.891089,0.011210,5
150,log1p,Baseline_L2Thresh,0.696900,0.002680,0.513700,0.002337,0.391488,0.101594,5
150,log1p,Baseline_LogReg,0.803560,0.003643,0.687020,0.003602,0.614806,0.004216,5
150,raw,Baseline_CosThresh,0.779840,0.006723,0.718060,0.005038,0.409975,0.008703,5
150,raw,Baseline_L1Thresh,0.689960,0.004634,0.513900,0.002024,0.915650,0.010718,5
150,raw,Baseline_L2Thresh,0.688080,0.006489,0.522400,0.002682,0.874822,0.057631,5
150,raw,Baseline_LogReg,0.808600,0.004631,0.694660,0.003347,0.630313,0.004960,5
150,zscore,Baseline_CosThresh,0.778800,0.006806,0.689860,0.003943,0.325500,0.034544,5
150,zscore,Baseline_L1Thresh,0.684040,0.002815,0.508680,0.003176,0.922518,0.008612,5
150,zscore,Baseline_L2Thresh,0.673340,0.003758,0.514820,0.004602,0.907393,0.029979,5
150,zscore,Baseline_LogReg,0.806060,0.004009,0.657580,0.008303,0.653934,0.006809,5
200,log1p,Baseline_CosThresh,0.791140,0.006607,0.746660,0.005131,0.356872,0.006098,5
200,log1p,Baseline_L1Thresh,0.702520,0.007013,0.516180,0.001038,0.884963,0.013493,5
200,log1p,Baseline_L2Thresh,0.710640,0.006654,0.516100,0.000828,0.298567,0.093644,5
200,log1p,Baseline_LogReg,0.827960,0.001677,0.711160,0.001936,0.621778,0.006688,5
200,raw,Baseline_CosThresh,0.792780,0.006661,0.746580,0.004915,0.403419,0.007369,5
200,raw,Baseline_L1Thresh,0.700180,0.006547,0.515700,0.000787,0.917733,0.014677,5
200,raw,Baseline_L2Thresh,0.698680,0.006836,0.522320,0.005526,0.869104,0.075054,5
200,raw,Baseline_LogReg,0.833420,0.003981,0.720960,0.001798,0.634658,0.004985,5
200,zscore,Baseline_CosThresh,0.795840,0.004044,0.713320,0.009660,0.305602,0.026919,5
200,zscore,Baseline_L1Thresh,0.694320,0.004744,0.509640,0.005840,0.919023,0.010458,5
200,zscore,Baseline_L2Thresh,0.684480,0.006884,0.515660,0.005317,0.908376,0.023409,5
200,zscore,Baseline_LogReg,0.830900,0.003827,0.686900,0.006479,0.659254,0.005053,5
300,log1p,Baseline_CosThresh,0.801780,0.004953,0.736380,0.009862,0.355494,0.002770,5
300,log1p,Baseline_L1Thresh,0.730480,0.007144,0.511960,0.005567,0.855056,0.026910,5
300,log1p,Baseline_L2Thresh,0.739960,0.004390,0.508440,0.003983,0.192761,0.046262,5
300,log1p,Baseline_LogReg,0.864220,0.001843,0.751860,0.003025,0.638237,0.004491,5
300,raw,Baseline_CosThresh,0.805080,0.004668,0.738920,0.003500,0.412396,0.002023,5
300,raw,Baseline_L1Thresh,0.729080,0.003584,0.505640,0.000730,0.907834,0.016780,5
300,raw,Baseline_L2Thresh,0.722580,0.004598,0.518900,0.003950,0.891840,0.047665,5
300,raw,Baseline_LogReg,0.866760,0.002494,0.760360,0.004138,0.646413,0.003727,5
300,zscore,Baseline_CosThresh,0.818860,0.004852,0.764360,0.006353,0.309585,0.010668,5
300,zscore,Baseline_L1Thresh,0.715000,0.004115,0.505860,0.001965,0.924031,0.011848,5
300,zscore,Baseline_L2Thresh,0.698580,0.007114,0.522300,0.004248,0.920116,0.016413,5
300,zscore,Baseline_LogReg,0.868160,0.005278,0.741660,0.004961,0.666434,0.003297,5
400,log1p,Baseline_CosThresh,0.820540,0.005028,0.748120,0.003591,0.362498,0.002834,5
400,log1p,Baseline_L1Thresh,0.740980,0.007396,0.504540,0.001545,0.812377,0.031938,5
400,log1p,Baseline_L2Thresh,0.754500,0.005273,0.501260,0.000974,0.170774,0.040733,5
400,log1p,Baseline_LogReg,0.884840,0.004524,0.783540,0.004731,0.650429,0.003145,5
400,raw,Baseline_CosThresh,0.821820,0.005263,0.748620,0.006665,0.411696,0.005200,5
400,raw,Baseline_L1Thresh,0.740100,0.005906,0.500520,0.000576,0.896428,0.027266,5
400,raw,Baseline_L2Thresh,0.733160,0.005910,0.529880,0.002408,0.883471,0.056198,5
400,raw,Baseline_LogReg,0.887900,0.005204,0.787620,0.004917,0.657874,0.004102,5
400,zscore,Baseline_CosThresh,0.837400,0.005760,0.786000,0.005960,0.295310,0.023707,5
400,zscore,Baseline_L1Thresh,0.725140,0.004417,0.504580,0.002012,0.920912,0.012317,5
400,zscore,Baseline_L2Thresh,0.704900,0.007235,0.525720,0.002820,0.906338,0.030187,5
400,zscore,Baseline_LogReg,0.885500,0.004543,0.768620,0.006333,0.675447,0.003745,5
500,log1p,Baseline_CosThresh,0.831740,0.005304,0.756760,0.003361,0.374911,0.003317,5
500,log1p,Baseline_L1Thresh,0.754020,0.005137,0.505620,0.002293,0.830884,0.025554,5
500,log1p,Baseline_L2Thresh,0.765460,0.005280,0.501980,0.000884,0.173995,0.046995,5
500,log1p,Baseline_LogReg,0.900340,0.003613,0.802640,0.005789,0.654145,0.003672,5
500,raw,Baseline_CosThresh,0.832920,0.007631,0.758720,0.007624,0.415790,0.003994,5
500,raw,Baseline_L1Thresh,0.752840,0.005041,0.502900,0.000292,0.899309,0.020595,5
500,raw,Baseline_L2Thresh,0.738120,0.006242,0.533960,0.003871,0.884272,0.049210,5
500,raw,Baseline_LogReg,0.903280,0.003021,0.803560,0.005835,0.663464,0.004570,5
500,zscore,Baseline_CosThresh,0.852100,0.004803,0.794780,0.006873,0.287578,0.025739,5
500,zscore,Baseline_L1Thresh,0.734260,0.006975,0.504680,0.000817,0.918797,0.014488,5
500,zscore,Baseline_L2Thresh,0.709880,0.006165,0.531500,0.004623,0.910995,0.025383,5
500,zscore,Baseline_LogReg,0.898720,0.004004,0.789080,0.006083,0.678580,0.003147,5
600,log1p,Baseline_CosThresh,0.841440,0.006469,0.768260,0.007165,0.383008,0.002811,5
600,log1p,Baseline_L1Thresh,0.758280,0.005021,0.502880,0.000993,0.838870,0.017163,5
600,log1p,Baseline_L2Thresh,0.772840,0.005590,0.504860,0.002219,0.177540,0.043495,5
600,log1p,Baseline_LogReg,0.909280,0.003355,0.821640,0.004716,0.660055,0.005630,5
600,raw,Baseline_CosThresh,0.842160,0.007140,0.768700,0.004207,0.421959,0.004755,5
600,raw,Baseline_L1Thresh,0.756300,0.006673,0.503980,0.000622,0.904183,0.017202,5
600,raw,Baseline_L2Thresh,0.743080,0.007325,0.531740,0.003253,0.883618,0.055592,5
600,raw,Baseline_LogReg,0.912220,0.004283,0.820900,0.004946,0.666610,0.006110,5
600,zscore,Baseline_CosThresh,0.863260,0.007087,0.805100,0.004630,0.279506,0.027479,5
600,zscore,Baseline_L1Thresh,0.737380,0.005858,0.505720,0.001932,0.922494,0.009900,5
600,zscore,Baseline_L2Thresh,0.715700,0.010024,0.523040,0.003324,0.910310,0.026575,5
600,zscore,Baseline_LogReg,0.906860,0.005099,0.809940,0.008950,0.683051,0.004074,5
