seed,P,norm,model,id_acc,ood_acc,ood_auroc
43,90,zscore,Baseline_LogReg,0.750800,0.599200,0.641967
43,100,raw,Baseline_L1Thresh,0.661500,0.511600,0.931962
43,100,raw,Baseline_L2Thresh,0.662200,0.515200,0.878263
43,100,raw,Baseline_CosThresh,0.745400,0.667400,0.413123
43,100,raw,Baseline_LogReg,0.765800,0.633400,0.653840
43,100,log1p,Baseline_L1Thresh,0.662300,0.509900,0.910826
43,100,log1p,Baseline_L2Thresh,0.668500,0.513800,0.689633
43,100,log1p,Baseline_CosThresh,0.741400,0.667600,0.427005
43,100,log1p,Baseline_LogReg,0.760400,0.629700,0.626611
43,100,zscore,Baseline_L1Thresh,0.662900,0.509400,0.932081
43,100,zscore,Baseline_L2Thresh,0.657500,0.506800,0.921336
43,100,zscore,Baseline_CosThresh,0.741600,0.596800,0.390990
43,100,zscore,Baseline_LogReg,0.763500,0.602600,0.651523
43,110,raw,Baseline_L1Thresh,0.662600,0.515800,0.930278
43,110,raw,Baseline_L2Thresh,0.670400,0.520200,0.913642
43,110,raw,Baseline_CosThresh,0.746500,0.674900,0.433913
43,110,raw,Baseline_LogReg,0.770200,0.645800,0.640164
43,110,log1p,Baseline_L1Thresh,0.663300,0.515600,0.909322
43,110,log1p,Baseline_L2Thresh,0.667600,0.516400,0.659668
43,110,log1p,Baseline_CosThresh,0.745100,0.674900,0.415687
43,110,log1p,Baseline_LogReg,0.769300,0.635500,0.615937
43,110,zscore,Baseline_L1Thresh,0.664300,0.512900,0.930767
43,110,zscore,Baseline_L2Thresh,0.662500,0.509900,0.931770
43,110,zscore,Baseline_CosThresh,0.742600,0.578900,0.420476
43,110,zscore,Baseline_LogReg,0.769300,0.618600,0.643163
43,120,raw,Baseline_L1Thresh,0.674200,0.517000,0.927314
43,120,raw,Baseline_L2Thresh,0.671000,0.521400,0.914119
43,120,raw,Baseline_CosThresh,0.754500,0.688500,0.422734
43,120,raw,Baseline_LogReg,0.781700,0.663700,0.639311
43,120,log1p,Baseline_L1Thresh,0.674200,0.516500,0.905223
43,120,log1p,Baseline_L2Thresh,0.679400,0.517200,0.583111
43,120,log1p,Baseline_CosThresh,0.752300,0.688500,0.392697
43,120,log1p,Baseline_LogReg,0.774800,0.649600,0.622613
43,120,zscore,Baseline_L1Thresh,0.668500,0.512300,0.932673
43,120,zscore,Baseline_L2Thresh,0.664900,0.508800,0.927027
43,120,zscore,Baseline_CosThresh,0.750700,0.583000,0.356331
43,120,zscore,Baseline_LogReg,0.777200,0.636400,0.653667
43,130,raw,Baseline_L1Thresh,0.675800,0.514200,0.931834
43,130,raw,Baseline_L2Thresh,0.678800,0.520800,0.905902
43,130,raw,Baseline_CosThresh,0.760100,0.704200,0.412666
43,130,raw,Baseline_LogReg,0.792600,0.685500,0.633845
43,130,log1p,Baseline_L1Thresh,0.673700,0.514700,0.909231
43,130,log1p,Baseline_L2Thresh,0.682500,0.514600,0.584847
43,130,log1p,Baseline_CosThresh,0.751700,0.701200,0.392740
43,130,log1p,Baseline_LogReg,0.789100,0.667900,0.626397
43,130,zscore,Baseline_L1Thresh,0.674000,0.517000,0.930899
43,130,zscore,Baseline_L2Thresh,0.669600,0.512600,0.934667
43,130,zscore,Baseline_CosThresh,0.757800,0.670000,0.336585
43,130,zscore,Baseline_LogReg,0.785800,0.639400,0.651301
43,140,raw,Baseline_L1Thresh,0.680700,0.515100,0.929017
43,140,raw,Baseline_L2Thresh,0.682300,0.524100,0.909214
43,140,raw,Baseline_CosThresh,0.763900,0.709300,0.404962
43,140,raw,Baseline_LogReg,0.799500,0.687300,0.634026
43,140,log1p,Baseline_L1Thresh,0.683000,0.515900,0.903780
43,140,log1p,Baseline_L2Thresh,0.687000,0.515600,0.525846
43,140,log1p,Baseline_CosThresh,0.764000,0.709400,0.379665
43,140,log1p,Baseline_LogReg,0.795800,0.675800,0.617183
43,140,zscore,Baseline_L1Thresh,0.676400,0.514400,0.932339
43,140,zscore,Baseline_L2Thresh,0.673000,0.508800,0.935112
43,140,zscore,Baseline_CosThresh,0.762500,0.688300,0.324648
43,140,zscore,Baseline_LogReg,0.794000,0.649400,0.655553
43,150,raw,Baseline_L1Thresh,0.690200,0.514700,0.924306
